GeoID,Geographic Area Name,Estimate!!INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Total households!!With earnings!!Mean earnings (dollars),year
1400000US06037143602,"Census Tract 1436.02, Los Angeles County, California",180248,2019
1400000US06037143603,"Census Tract 1436.03, Los Angeles County, California",97534,2019
1400000US06037143604,"Census Tract 1436.04, Los Angeles County, California",94059,2019
1400000US06037143700,"Census Tract 1437, Los Angeles County, California",208827,2019
1400000US06037143800,"Census Tract 1438, Los Angeles County, California",192340,2019
1400000US06037143901,"Census Tract 1439.01, Los Angeles County, California",290629,2019
1400000US06037143902,"Census Tract 1439.02, Los Angeles County, California",205181,2019
1400000US06037181000,"Census Tract 1810, Los Angeles County, California",142241,2019
1400000US06037181300,"Census Tract 1813, Los Angeles County, California",126027,2019
1400000US06037181400,"Census Tract 1814, Los Angeles County, California",97301,2019
1400000US06037181500,"Census Tract 1815, Los Angeles County, California",127897,2019
1400000US06037181600,"Census Tract 1816, Los Angeles County, California",101603,2019
1400000US06037183101,"Census Tract 1831.01, Los Angeles County, California",97668,2019
1400000US06037183103,"Census Tract 1831.03, Los Angeles County, California",75904,2019
1400000US06037183104,"Census Tract 1831.04, Los Angeles County, California",109878,2019
1400000US06037183220,"Census Tract 1832.20, Los Angeles County, California",85819,2019
1400000US06037183221,"Census Tract 1832.21, Los Angeles County, California",88927,2019
1400000US06037183222,"Census Tract 1832.22, Los Angeles County, California",149532,2019
1400000US06037183300,"Census Tract 1833, Los Angeles County, California",88416,2019
1400000US06037183401,"Census Tract 1834.01, Los Angeles County, California",81013,2019
1400000US06037183402,"Census Tract 1834.02, Los Angeles County, California",86305,2019
